Date,Category,Amount
2024-01-05,Groceries,3200
2024-01-12,Transport,1200
2024-01-18,Utilities,2500
2024-01-25,Entertainment,1800
2024-02-03,Groceries,3000
2024-02-10,Transport,1100
2024-02-18,Utilities,2450
2024-02-22,Entertainment,1600
2024-03-04,Groceries,3100
2024-03-11,Transport,1300
2024-03-17,Utilities,2550
2024-03-26,Entertainment,1700
2024-04-05,Groceries,2950
2024-04-13,Transport,1000
2024-04-20,Utilities,2400
2024-04-27,Entertainment,1900
2024-05-02,Groceries,3250
2024-05-10,Transport,1150
2024-05-18,Utilities,2600
2024-05-24,Entertainment,1750
2024-06-03,Groceries,3300
2024-06-12,Transport,1250
2024-06-19,Utilities,2700
2024-06-26,Entertainment,1650
2024-07-04,Groceries,3400
2024-07-11,Transport,1350
2024-07-19,Utilities,2750
2024-07-25,Entertainment,1800
2024-08-02,Groceries,3150
2024-08-09,Transport,1250
2024-08-16,Utilities,2650
2024-08-23,Entertainment,1700
2024-09-05,Groceries,3350
2024-09-13,Transport,1300
2024-09-20,Utilities,2800
2024-09-27,Entertainment,1900
2024-10-03,Groceries,3500
2024-10-10,Transport,1400
2024-10-18,Utilities,2900
2024-10-25,Entertainment,1850
2024-11-07,Groceries,3600
2024-11-14,Transport,1450
2024-11-21,Utilities,3000
2024-11-28,Entertainment,1950
2024-12-05,Groceries,3700
2024-12-12,Transport,1500
2024-12-19,Utilities,3100
2024-12-26,Entertainment,2000
